0.00	0.00	-50.00
5.00	0.00	-50.00
0.00	5.00	-50.00

0.00	0.00	-50.00
10.00	0.00	-50.00
0.00	10.00	-50.00

20.00	0.00	-50.00
30.00	0.00	-50.00
20.00	10.00	-50.00

20.00	0.00	-50.00
20.00	10.00	-50.00
10.00	0.00	-50.00

20.00	0.00	-50.00
20.00	20.00	-50.00
0.00	0.00	-50.00

40.00	0.00	-50.00
50.00	0.00	-50.00
40.00	10.00	-50.00

40.00	0.00	-50.00
40.00	0.00	-40.00
40.00	10.00	-50.00

20.00	0.00	-50.00
30.00	0.00	-50.00
20.00	10.00	-50.00

0.00	0.00	-50.00
3.75	1.25	-53.06
1.25	3.75	-46.94

0.00	0.00	-50.00
4.02	2.53	-51.55
-1.55	4.02	-47.47

0.00	0.00	-50.00
4.38	2.10	-51.19
-1.91	4.52	-49.04

0.00	0.00	-50.00
2.84	-3.73	-51.72
2.70	3.28	-52.64

