0.00	0.00	0.98
0.12	0.00	0.98
0.00	0.12	0.98

0.00	0.00	0.98
0.24	0.00	0.98
0.00	0.24	0.98

0.48	0.00	0.98
0.72	0.00	0.98
0.48	0.24	0.98

0.48	0.00	0.98
0.48	0.24	0.98
0.24	0.00	0.98

0.48	0.00	0.98
0.48	0.48	0.98
0.00	0.00	0.98

0.95	0.00	0.98
1.19	0.00	0.98
0.95	0.24	0.98

0.95	0.00	0.98
1.19	0.00	0.97
0.95	0.24	0.98

0.48	0.00	0.98
0.72	0.00	0.98
0.48	0.24	0.98

0.00	0.00	0.98
0.08	0.03	0.98
0.03	0.10	0.98

0.00	0.00	0.98
0.09	0.06	0.98
-0.04	0.10	0.98

0.00	0.00	0.98
0.10	0.05	0.98
-0.05	0.11	0.98

0.00	0.00	0.98
0.07	-0.09	0.98
0.06	0.07	0.98

